Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1990,-2.2,-4.1,-0.3,5010,0.0,0.38,3.2
02/01/1990,-0.6,-4.2,5.1,9390,0.0,0.39,4.3
03/01/1990,4.0,0.2,9.3,9030,0.0,0.61,4.8
04/01/1990,5.3,-1.2,9.1,2400,8.2,0.78,4.8
05/01/1990,-2.2,-6.2,2.7,9490,0.0,0.39,1.7
06/01/1990,-1.0,-3.5,4.0,9650,0.0,0.43,2.0
07/01/1990,1.2,-2.7,8.1,9550,0.0,0.5,3.1
08/01/1990,2.2,-2.4,8.8,9540,0.0,0.49,3.6
09/01/1990,4.2,2.6,7.1,3750,6.2,0.67,4.9
10/01/1990,0.8,-2.4,3.4,9830,0.0,0.46,3.9
11/01/1990,3.2,0.5,5.5,9690,0.0,0.39,6.6
12/01/1990,-1.9,-4.2,0.1,7620,0.0,0.25,5.7
13/01/1990,-4.2,-7.7,-0.1,9740,0.0,0.24,2.6
14/01/1990,1.9,-4.1,6.5,8630,0.0,0.4,4.4
15/01/1990,6.0,2.4,11.9,8670,0.0,0.81,3.3
16/01/1990,10.7,7.1,15.3,4570,0.0,1.17,3.9
17/01/1990,12.6,11.2,13.7,1230,15.7,1.33,4.8
18/01/1990,2.3,-3.4,11.6,6840,3.1,0.59,3.6
19/01/1990,-1.4,-5.5,2.1,5160,1.6,0.37,2.2
20/01/1990,3.1,0.3,5.6,1230,16.1,0.74,2.5
21/01/1990,1.5,0.6,3.8,4250,0.5,0.52,4.5
22/01/1990,2.3,-1.2,7.7,9260,0.0,0.52,3.7
23/01/1990,3.8,-3.2,10.2,3950,0.8,0.63,4.3
24/01/1990,7.0,2.5,11.4,10880,0.0,0.61,3.9
25/01/1990,3.5,-3.6,9.0,3540,9.3,0.7,6.7
26/01/1990,-1.9,-6.6,3.8,11890,0.0,0.38,3.3
27/01/1990,5.3,0.1,12.0,10700,0.0,0.53,6.6
28/01/1990,-1.1,-4.2,3.6,12110,0.0,0.27,1.8
29/01/1990,-0.4,-3.5,4.7,10350,0.1,0.35,1.9
30/01/1990,1.8,-3.7,7.9,11440,0.0,0.45,3.6
