GrowingSeason,Site,Variety,AUDPC,DiseaseSeverity,YieldAttainable,YieldActual,YieldLossRaw,YieldLossPerc,AGBattainable,AGBactual,AveTx,AveTn,AveRHx,AveRHn,TotalPrec,TotalRad,TotalLW
1972,indiana,Generic,3830.524204516517,0.7226254504364281,11434.964,2157.7663870413053,9277.197612958695,81.13009899251712,17258.674,7240.7640110761295,12.990721088435373,4.633840136167178,81.1025825055849,48.68120454615038,954.6946682629276,3859.43,2021.0
1973,indiana,Generic,3839.0060241036617,0.6928893456177238,9712.736,2362.2120775612952,7350.523922438706,75.67923108832264,14179.804,6668.425480033629,13.184901060070672,3.9624169612551756,79.91015526562916,45.316366032287334,1014.2876414189423,3670.7000000000003,2199.0
1974,indiana,Generic,2653.706024037033,0.6029194572716003,11707.057,4708.796008808488,6998.260991191512,59.778140579579585,18885.361,11403.42329530014,13.189439189189187,4.4246081082263675,79.58110085947487,46.12780272727757,756.4576189624222,4186.66,1730.0
1975,indiana,Generic,3255.2298049276696,0.5820418962481214,11307.482,3786.6004192407463,7520.881580759254,66.51243469376519,16456.506,8691.269665077158,13.926368231046933,3.691888086780687,78.61786893857811,41.831104491459406,585.6670535278603,4006.22,1450.0
1976,indiana,Generic,2792.4514474922435,0.5397740904916892,11993.858,3978.5293848890333,8015.328615110967,66.82861023626398,18821.35,10271.874650274136,12.40167474048443,2.7241453288502964,72.7752218326068,39.6696254850432,599.994154848737,4306.6900000000005,1206.0
1977,indiana,Generic,2831.026004159999,0.5880093684252667,11733.776,3933.030487828552,7800.745512171448,66.48111837290442,18553.373,10213.44909215162,11.344869863013699,2.0610136987553984,71.86830366184466,40.38673802357335,708.3124587007105,4213.7300000000005,1614.0
1978,indiana,Generic,2950.2283147498624,0.5707540668300197,11732.01,3823.7577899295666,7908.252210070434,67.40747928164427,17984.78,9558.61230572762,12.100043918918919,2.604996621749733,75.30226821776843,41.21252864071352,759.1383456127439,4116.02,1790.0
1979,indiana,Generic,3379.036612976967,0.6722718170629701,11314.054,2876.6610631604567,8437.392936839544,74.57444464061726,17931.246,9393.24312710442,13.053046666666665,3.980433333455743,78.02162532532603,43.984784241828635,862.3935210622876,4175.18,1616.0
1980,indiana,Generic,3774.00729877893,0.7337673435473074,11031.176,2400.361063996919,8630.81493600308,78.24020699155811,16353.848,7474.140405305172,13.056921232876713,3.7029554795782627,78.49241439702541,44.15151722902933,864.7980629198814,4075.13,1609.0
1981,indiana,Generic,2822.8409116806833,0.6550848229886392,10537.193,4053.730875739085,6483.462124260914,61.52930979114565,17617.893,10952.257613885926,12.001945762711863,2.395840678095711,74.74781225094956,41.26189376608055,904.3435740202062,4201.469999999999,1902.0
1982,indiana,Generic,3384.2183187156734,0.6177829557065809,11850.607,2923.504675490779,8927.102324509222,75.33033813803142,17653.104,8191.661172811715,14.04773263888889,5.251072916785355,81.52291864410358,47.36832801649976,856.5559670942874,3988.5099999999998,1647.0
1983,indiana,Generic,2739.472509824558,0.6006248632398965,11806.945,4413.663210757689,7393.281789242311,62.61807596497071,17604.963,9991.354751647212,12.019523489932887,3.199023490051897,76.44551864307866,44.135056475082294,850.5113570189878,4008.8500000000004,1803.0
1984,indiana,Generic,2626.9232045108834,0.5534551376821549,11500.14,4912.745818496256,6587.394181503743,57.280991201009236,17165.041,10259.500234091747,13.029436363636362,3.7546145455796855,78.6611927718963,44.05773697466896,970.8125001775763,3691.87,1797.0
1985,indiana,Generic,2483.2265038191126,0.5888091393571234,10343.361,4607.173255414922,5736.187744585079,55.45767709920477,16346.832,10427.044523258863,13.116329710144928,3.930065217515249,78.12566775571253,44.6785910291364,869.750459295684,3619.3499999999995,1698.0
1986,indiana,Generic,1640.9038082738239,0.4813365508123453,11651.327,7370.776665185458,4280.550334814541,36.738736581803444,19277.83,14997.274297013073,13.976254416961131,4.91514841001625,79.4569462526678,45.31575164626878,598.6712262893866,4041.9499999999994,1297.0
1987,indiana,Generic,2210.6306446048475,0.4197855351523771,13473.709,6204.737470230915,7268.9715297690855,53.94929881422469,20947.48,13408.618257123044,14.231948630136987,4.1463219179443,76.27859783277164,40.72579945107345,618.7887972203187,4512.469999999999,1254.0
1988,indiana,Generic,3544.2310721881977,0.717616525316135,11603.915,2857.3882164803463,8746.526783519654,75.37565367825991,18201.207,9125.916785527499,13.43310067114094,4.120030201467939,79.53093855477887,44.12698401850168,923.5497644825865,4333.58,1887.0
1989,indiana,Generic,3469.339638945338,0.7018099444837339,10830.355,2852.9442335782205,7977.410766421779,73.65788809712866,16234.546,8211.145579737593,13.343003460207614,4.213467128150862,80.12779981356867,45.53932952338564,809.933828424345,3918.0200000000004,1631.0
1990,indiana,Generic,3385.0301717407406,0.6709178659096801,11358.675,2643.1989550389067,8715.476044961093,76.72968937804008,16381.119,7190.776934782844,14.354065217391307,4.81013043491138,80.10284337027868,44.078836923205934,770.7918471743191,3730.83,1615.0
