GrowingSeason,Site,Variety,AUDPC,DiseaseSeverity,YieldAttainable,YieldActual,YieldLossRaw,YieldLossPerc,AGBattainable,AGBactual,AveTx,AveTn,AveRHx,AveRHn,TotalPrec,TotalRad,TotalLW
1972,indiana,Generic,4160.505776200494,0.8310958818558598,11434.964,1666.2264002869347,9768.737599713066,85.4286694712206,17258.674,7315.593932719256,12.990721088435373,4.633840136167178,81.1025825055849,48.68120454615038,954.6946682629276,3859.43,2021.0
1973,indiana,Generic,3894.4936857854045,0.7968743974583876,9712.736,2716.178501888854,6996.557498111147,72.03487769163237,14179.804,7183.248206956006,13.184901060070672,3.9624169612551756,79.91015526562916,45.316366032287334,1014.2876414189423,3670.7000000000003,2199.0
1974,indiana,Generic,3093.218821677278,0.6731958201617394,11707.057,3765.1175783312074,7941.939421668793,67.83890623979018,18885.361,10742.591606689173,13.189439189189187,4.4246081082263675,79.58110085947487,46.12780272727757,756.4576189624222,4186.66,1730.0
1975,indiana,Generic,2648.2378061588824,0.5823391022133988,11307.482,4978.085481775932,6329.396518224068,55.97529598741849,16456.506,10127.107066656461,13.926368231046933,3.691888086780687,78.61786893857811,41.831104491459406,585.6670535278603,4006.22,1450.0
1976,indiana,Generic,3221.188353288676,0.5810854975946146,11993.858,3028.2565043944214,8965.601495605579,74.7516061604663,18821.35,9670.02041102184,12.40167474048443,2.7241453288502964,72.7752218326068,39.6696254850432,599.994154848737,4306.6900000000005,1206.0
1977,indiana,Generic,3320.9642574582035,0.6762689699609267,11733.776,2902.1076028723305,8831.668397127669,75.26706149092729,18553.373,9585.912300898664,11.344869863013699,2.0610136987553984,71.86830366184466,40.38673802357335,708.3124587007105,4213.7300000000005,1614.0
1978,indiana,Generic,3073.9489399543427,0.5967337679542226,11732.01,3480.4201170585948,8251.589882941405,70.33398269300321,17984.78,9566.967366971196,12.100043918918919,2.604996621749733,75.30226821776843,41.21252864071352,759.1383456127439,4116.02,1790.0
1979,indiana,Generic,4159.694270363589,0.8079550837850683,11314.054,1934.8653118075251,9379.188688192475,82.89856746478738,17931.246,8552.059570586114,13.053046666666665,3.980433333455743,78.02162532532603,43.984784241828635,862.3935210622876,4175.18,1616.0
1980,indiana,Generic,3571.554755861831,0.7635199578892007,11031.176,2964.8427166499737,8066.333283350026,73.12305853292547,16353.848,8215.088800411397,13.056921232876713,3.7029554795782627,78.49241439702541,44.15151722902933,864.7980629198814,4075.13,1609.0
1981,indiana,Generic,3044.505340210685,0.7153073489397817,10537.193,3890.9197228258945,6646.273277174105,63.07441912826409,17617.893,10879.826117416495,12.001945762711863,2.395840678095711,74.74781225094956,41.26189376608055,904.3435740202062,4201.469999999999,1902.0
1982,indiana,Generic,4075.3050651222115,0.7972697341617415,11850.607,1920.3879982920269,9930.219001707974,83.79502418490439,17653.104,7672.586914545867,14.04773263888889,5.251072916785355,81.52291864410358,47.36832801649976,856.5559670942874,3988.5099999999998,1647.0
1983,indiana,Generic,2837.956437890314,0.6825284573285331,11806.945,4985.6735055997015,6821.271494400298,57.773382482939475,17604.963,10783.692036236705,12.019523489932887,3.199023490051897,76.44551864307866,44.135056475082294,850.5113570189878,4008.8500000000004,1803.0
1984,indiana,Generic,2723.333156195554,0.5812903501540753,11500.14,4878.014251849119,6622.12574815088,57.58300114738499,17165.041,10470.644657505782,13.029436363636362,3.7546145455796855,78.6611927718963,44.05773697466896,970.8125001775763,3691.87,1797.0
1985,indiana,Generic,2913.2837833466183,0.6968210965941586,10343.361,4063.126781985134,6280.234218014866,60.71753869960514,16346.832,10066.596944397934,13.116329710144928,3.930065217515249,78.12566775571253,44.6785910291364,869.750459295684,3619.3499999999995,1698.0
1986,indiana,Generic,2096.777400806611,0.5115836214113013,11651.327,6086.4946255845725,5564.832374415427,47.76136121160643,19277.83,13630.406133897526,13.976254416961131,4.91514841001625,79.4569462526678,45.31575164626878,598.6712262893866,4041.9499999999994,1297.0
1987,indiana,Generic,2998.9301217557654,0.5790069337854267,13473.709,4571.878194447297,8901.830805552705,66.06815395488135,20947.48,11985.028324134202,14.231948630136987,4.1463219179443,76.27859783277164,40.72579945107345,618.7887972203187,4512.469999999999,1254.0
1988,indiana,Generic,4141.826722729086,0.8403180568384208,11603.915,2297.218298782334,9306.696701217666,80.20307543805401,18201.207,8773.788906766413,13.43310067114094,4.120030201467939,79.53093855477887,44.12698401850168,923.5497644825865,4333.58,1887.0
1989,indiana,Generic,3475.3100524491415,0.7483585734092748,10830.355,3013.5804117083185,7816.774588291681,72.17468483989381,16234.546,8368.213142768613,13.343003460207614,4.213467128150862,80.12779981356867,45.53932952338564,809.933828424345,3918.0200000000004,1631.0
1990,indiana,Generic,3180.052282355762,0.6622908968451604,11358.675,3016.0043763791878,8342.670623620812,73.44756869635599,16381.119,7904.714283931154,14.354065217391307,4.81013043491138,80.10284337027868,44.078836923205934,770.7918471743191,3730.83,1615.0
