year,doy,agb,yield,fint,lai,gdd
1973,280,10.5,0.0,0.0,0.14469,0.0
1973,281,10.5,0.0,0.0,0.14469,0.0
1973,282,10.5,0.0,0.0,0.14469,0.0
1973,283,10.5,0.0,0.0,0.14469,0.0
1973,284,10.5,0.0,0.0,0.14469,0.0
1973,285,10.5,0.0,0.0,0.14469,0.0
1973,286,10.5,0.0,0.0,0.14469,0.0
1973,287,10.5,0.0,0.08315238656939639,0.14469,0.0
1973,288,11.496824736033997,0.0,0.09348460310174489,0.16357877322692904,15.0185
1973,289,12.563338895987465,0.0,0.1068800353702859,0.18839061372873592,33.435
1973,290,13.84328094738251,0.0,0.1163232001432587,0.206106490363807,46.0055
1973,291,14.785121609637232,0.0,0.12258910957703195,0.2179664636235634,54.781499999999994
1973,292,15.961748665527995,0.0,0.1318756260151963,0.2357004776426768,67.09349999999999
1973,293,17.361140515568568,0.0,0.14229395887267116,0.2558230793448244,80.482
1973,294,18.476718776683484,0.0,0.15311635987432393,0.2769866210061552,94.151
1973,295,19.932462730196555,0.0,0.1617710635648072,0.2941067032899158,105.078
1973,296,21.56585128829647,0.0,0.1712156595355402,0.312992169804435,116.84100000000001
1973,297,23.26094047870945,0.0,0.18206512168034872,0.3349542606744573,130.02800000000002
1973,298,25.022978247374816,0.0,0.19693233152132802,0.3655271649974505,146.90800000000002
1973,299,26.574009989454837,0.0,0.21310255381374468,0.39942891476208015,164.40500000000003
1973,300,28.619099208444283,0.0,0.22484152173247438,0.4244796374108323,177.29850000000002
1973,301,29.073985969098658,0.0,0.23450160937334918,0.4453802771141915,188.383
1973,302,30.391326055220944,0.0,0.24239516031388297,0.4626555815823672,197.336
1973,303,30.670988760520146,0.0,0.2477957793049719,0.47457903637933185,204.145
1973,304,31.220722804931434,0.0,0.25844857013653566,0.4983512676448601,214.6875
1973,305,31.455765769815812,0.0,0.2572877458680648,0.4957443083431652,223.776
1973,306,32.601161220827386,0.0,0.26128905337537534,0.5047476263138166,232.08450000000002
1973,307,33.885610093588696,0.0,0.26595048379115904,0.5152979864466827,243.18850000000003
1973,308,35.224230668683546,0.0,0.27079127458931407,0.5263254508645175,249.71600000000004
1973,309,35.28412518383647,0.0,0.2685469202019375,0.521203671714747,254.25050000000005
1973,310,35.289476981634515,0.0,0.2661868569927859,0.5158347605610407,257.39150000000006
1973,311,35.289476981634515,0.0,0.26397986734283374,0.5108296774560341,257.39150000000006
1973,312,35.289476981634515,0.0,0.2619366956578386,0.5062094663649942,260.26400000000007
1973,313,35.76014482219924,0.0,0.2627885585658781,0.5081342219744264,265.05500000000006
1973,314,35.76014482219924,0.0,0.2609794404912824,0.5040492295091237,265.05500000000006
1973,315,35.76014482219924,0.0,0.25932336960506563,0.5003185752712576,265.05500000000006
1973,316,35.76014482219924,0.0,0.2578154959497204,0.49692901495877995,267.4770000000001
1973,317,36.9326596487996,0.0,0.2634818088364681,0.5097022398486918,276.6305000000001
1973,318,39.28771942781747,0.0,0.2757252857055106,0.5376408648869351,289.4560000000001
1973,319,40.22385682561594,0.0,0.2790947669843651,0.5454126476573905,303.73050000000006
1973,320,41.779096071666494,0.0,0.28576672805920034,0.5609094309990348,318.00000000000006
1973,321,42.78299780040242,0.0,0.2891601593476868,0.5688468897217089,323.16800000000006
1973,322,42.78299780040242,0.0,0.2871889352339684,0.5642314666430265,327.74800000000005
1973,323,43.7788161172587,0.0,0.2907138341440576,0.5724936915057941,337.13000000000005
1973,324,45.422471575830166,0.0,0.29753320316460186,0.5885952386374603,346.4100000000001
1973,325,47.73339517380156,0.0,0.30734513517526585,0.6120390573443032,357.7175000000001
1973,326,49.10334178407363,0.0,0.3118772465251869,0.6229800603593454,370.7505000000001
1973,327,52.06152076453484,0.0,0.3237993813812863,0.65210912310499,381.5730000000001
1973,328,54.68761662725327,0.0,0.3332345056770639,0.6755281293507388,392.1550000000001
1973,329,55.03824341721759,0.0,0.3318540170569644,0.672080986635706,404.8755000000001
