Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
01/01/1974,-17.2,-21.2,-11.4,9520,0.4,0.13,3.0
02/01/1974,-15.6,-22.2,-10.5,7890,0.0,0.15,2.2
03/01/1974,-11.1,-14.1,-6.7,7270,0.3,0.23,2.3
04/01/1974,-16.7,-21.9,-12.1,10270,0.0,0.14,1.5
05/01/1974,-15.7,-23.3,-7.9,6730,0.0,0.16,1.2
06/01/1974,-10.9,-16.7,-6.5,7000,0.9,0.22,1.4
07/01/1974,-12.0,-18.6,-9.0,7840,0.0,0.21,3.3
08/01/1974,-14.1,-24.1,-2.7,6830,8.9,0.21,2.7
09/01/1974,-5.6,-8.0,-1.6,8360,2.9,0.37,2.8
10/01/1974,-5.0,-6.6,-3.3,3110,8.3,0.38,4.1
11/01/1974,-7.0,-11.9,-3.7,9620,0.5,0.33,3.8
12/01/1974,-19.2,-23.1,-12.7,11250,0.0,0.11,3.6
13/01/1974,-12.5,-22.6,-4.3,6300,0.5,0.2,3.0
14/01/1974,-3.7,-7.3,-0.2,10180,0.0,0.39,5.0
15/01/1974,-0.2,-3.1,2.3,10380,0.0,0.53,5.7
16/01/1974,2.0,-1.7,4.2,10300,0.0,0.61,5.9
17/01/1974,0.0,-4.3,1.9,10090,0.0,0.58,2.7
18/01/1974,4.1,2.3,6.0,2000,8.2,0.82,2.2
19/01/1974,2.2,0.9,3.7,4390,0.7,0.7,2.9
20/01/1974,10.7,4.1,13.0,1270,24.2,1.29,3.9
21/01/1974,3.5,1.7,7.4,3580,0.8,0.69,4.0
22/01/1974,4.8,0.9,10.2,3300,8.0,0.83,2.6
23/01/1974,0.6,-3.6,4.1,6600,0.5,0.51,3.3
24/01/1974,0.3,-4.4,7.2,11190,0.0,0.4,2.2
25/01/1974,2.2,-2.0,9.4,11270,0.0,0.44,2.9
26/01/1974,4.8,-1.1,13.4,3370,12.9,0.8,4.1
27/01/1974,5.4,0.0,9.1,6260,1.7,0.77,4.7
28/01/1974,-0.2,-1.8,1.1,2350,8.3,0.53,2.5
